#,"Date Time, GMT-04:00","Temp, °C",Coupler Detached,Coupler Attached,Host Connected,Stopped,End Of File
65,9/6/2025 0:00,29.389,,,,,
,,,,,,,
66,9/6/2025 1:00,29.165,,,,,
,,,,,,,
67,9/6/2025 2:00,28.965,,,,,
,,,,,,,
68,9/6/2025 3:00,28.766,,,,,
,,,,,,,
69,9/6/2025 4:00,28.568,,,,,
,,,,,,,
70,9/6/2025 5:00,28.345,,,,,
,,,,,,,
71,9/6/2025 6:00,28.147,,,,,
,,,,,,,
72,9/6/2025 7:00,27.998,,,,,
,,,,,,,
73,9/6/2025 8:00,27.949,,,,,
,,,,,,,
74,9/6/2025 9:00,27.998,,,,,
,,,,,,,
75,9/6/2025 10:00,28.196,,,,,
,,,,,,,
76,9/6/2025 11:00,28.171,,,,,
,,,,,,,
77,9/6/2025 12:00,28.27,,,,,
,,,,,,,
78,9/6/2025 13:00,28.419,,,,,
,,,,,,,
79,9/6/2025 14:00,28.667,,,,,
,,,,,,,
80,9/6/2025 15:00,29.19,,,,,
,,,,,,,
81,9/6/2025 16:00,29.615,,,,,
,,,,,,,
82,9/6/2025 17:00,29.64,,,,,
,,,,,,,
83,9/6/2025 18:00,29.54,,,,,
,,,,,,,
84,9/6/2025 19:00,29.29,,,,,
,,,,,,,
85,9/6/2025 20:00,29.04,,,,,
,,,,,,,
86,9/6/2025 21:00,28.791,,,,,
,,,,,,,
87,9/6/2025 22:00,28.493,,,,,
,,,,,,,
88,9/6/2025 23:00,28.245,,,,,
,,,,,,,
89,9/7/2025 0:00,28.048,,,,,
,,,,,,,
90,9/7/2025 1:00,27.776,,,,,
,,,,,,,
91,9/7/2025 2:00,27.505,,,,,
,,,,,,,
92,9/7/2025 3:00,27.308,,,,,
,,,,,,,
93,9/7/2025 4:00,27.112,,,,,
,,,,,,,
94,9/7/2025 5:00,26.989,,,,,
,,,,,,,
95,9/7/2025 6:00,26.842,,,,,
,,,,,,,
96,9/7/2025 7:00,26.793,,,,,
,,,,,,,
97,9/7/2025 8:00,26.916,,,,,
,,,,,,,
98,9/7/2025 9:00,27.112,,,,,
,,,,,,,
99,9/7/2025 10:00,27.53,,,,,
,,,,,,,
100,9/7/2025 11:00,27.949,,,,,
,,,,,,,
101,9/7/2025 12:00,28.518,,,,,
,,,,,,,
102,9/7/2025 13:00,29.315,,,,,
,,,,,,,
103,9/7/2025 14:00,29.991,,,,,
,,,,,,,
104,9/7/2025 15:00,30.621,,,,,
,,,,,,,
105,9/7/2025 16:00,31.128,,,,,
,,,,,,,
106,9/7/2025 17:00,31.357,,,,,
,,,,,,,
107,9/7/2025 18:00,31.103,,,,,
,,,,,,,
108,9/7/2025 19:00,30.646,,,,,
,,,,,,,
109,9/7/2025 20:00,30.243,,,,,
,,,,,,,
110,9/7/2025 21:00,29.815,,,,,
,,,,,,,
111,9/7/2025 22:00,29.464,,,,,
,,,,,,,
112,9/7/2025 23:00,29.04,,,,,
,,,,,,,
113,9/8/2025 0:00,28.717,,,,,
,,,,,,,
114,9/8/2025 1:00,28.444,,,,,
,,,,,,,
115,9/8/2025 2:00,28.147,,,,,
,,,,,,,
116,9/8/2025 3:00,27.899,,,,,
,,,,,,,
117,9/8/2025 4:00,27.727,,,,,
,,,,,,,
118,9/8/2025 5:00,27.579,,,,,
,,,,,,,
119,9/8/2025 6:00,27.431,,,,,
,,,,,,,
120,9/8/2025 7:00,27.554,,,,,
,,,,,,,
121,9/8/2025 8:00,27.825,,,,,
,,,,,,,
122,9/8/2025 9:00,27.949,,,,,
,,,,,,,
123,9/8/2025 10:00,28.221,,,,,
,,,,,,,
124,9/8/2025 11:00,28.791,,,,,
,,,,,,,
125,9/8/2025 12:00,29.065,,,,,
,,,,,,,
126,9/8/2025 13:00,29.515,,,,,
,,,,,,,
127,9/8/2025 14:00,30.041,,,,,
,,,,,,,
128,9/8/2025 15:00,30.469,,,,,
,,,,,,,
129,9/8/2025 16:00,30.798,,,,,
,,,,,,,
130,9/8/2025 17:00,31.052,,,,,
,,,,,,,
131,9/8/2025 18:00,31.077,,,,,
,,,,,,,
132,9/8/2025 19:00,30.773,,,,,
,,,,,,,
133,9/8/2025 20:00,30.52,,,,,
,,,,,,,
134,9/8/2025 21:00,30.343,,,,,
,,,,,,,
135,9/8/2025 22:00,30.117,,,,,
,,,,,,,
136,9/8/2025 23:00,29.89,,,,,
,,,,,,,
137,9/9/2025 0:00,29.665,,,,,
,,,,,,,
138,9/9/2025 1:00,29.414,,,,,
,,,,,,,
139,9/9/2025 2:00,29.215,,,,,
,,,,,,,
140,9/9/2025 3:00,29.015,,,,,
,,,,,,,
141,9/9/2025 4:00,28.816,,,,,
,,,,,,,
142,9/9/2025 5:00,28.667,,,,,
,,,,,,,
143,9/9/2025 6:00,28.543,,,,,
,,,,,,,
144,9/9/2025 7:00,28.444,,,,,
,,,,,,,
145,9/9/2025 8:00,28.394,,,,,
,,,,,,,
146,9/9/2025 9:00,28.518,,,,,
,,,,,,,
147,9/9/2025 10:00,28.593,,,,,
,,,,,,,
148,9/9/2025 11:00,28.791,,,,,
,,,,,,,
149,9/9/2025 12:00,29.015,,,,,
,,,,,,,
150,9/9/2025 13:00,29.464,,,,,
,,,,,,,
151,9/9/2025 14:00,29.715,,,,,
,,,,,,,
152,9/9/2025 15:00,30.167,,,,,
,,,,,,,
153,9/9/2025 16:00,30.394,,,,,
,,,,,,,
154,9/9/2025 17:00,30.571,,,,,
,,,,,,,
155,9/9/2025 18:00,30.571,,,,,
,,,,,,,
156,9/9/2025 19:00,30.343,,,,,
,,,,,,,
157,9/9/2025 20:00,30.142,,,,,
,,,,,,,
158,9/9/2025 21:00,29.966,,,,,
,,,,,,,
159,9/9/2025 22:00,29.815,,,,,
,,,,,,,
160,9/9/2025 23:00,29.665,,,,,
,,,,,,,
161,9/10/2025 0:00,29.515,,,,,
,,,,,,,
162,9/10/2025 1:00,29.365,,,,,
,,,,,,,
163,9/10/2025 2:00,29.215,,,,,
,,,,,,,
164,9/10/2025 3:00,29.065,,,,,
,,,,,,,
165,9/10/2025 4:00,28.916,,,,,
,,,,,,,
166,9/10/2025 5:00,28.766,,,,,
,,,,,,,
167,9/10/2025 6:00,28.667,,,,,
,,,,,,,
168,9/10/2025 7:00,28.593,,,,,
,,,,,,,
169,9/10/2025 8:00,28.642,,,,,
,,,,,,,
170,9/10/2025 9:00,28.717,,,,,
,,,,,,,
171,9/10/2025 10:00,29.04,,,,,
,,,,,,,
172,9/10/2025 11:00,29.24,,,,,
,,,,,,,
173,9/10/2025 12:00,29.59,,,,,
,,,,,,,
174,9/10/2025 13:00,30.016,,,,,
,,,,,,,
175,9/10/2025 14:00,30.444,,,,,
,,,,,,,
176,9/10/2025 15:00,30.9,,,,,
,,,,,,,
177,9/10/2025 16:00,31.255,,,,,
,,,,,,,
178,9/10/2025 17:00,31.663,,,,,
,,,,,,,
179,9/10/2025 18:00,31.791,,,,,
,,,,,,,
180,9/10/2025 19:00,31.561,,,,,
,,,,,,,
181,9/10/2025 20:00,31.306,,,,,
,,,,,,,
182,9/10/2025 21:00,31.052,,,,,
,,,,,,,
183,9/10/2025 22:00,30.824,,,,,
,,,,,,,
184,9/10/2025 23:00,30.596,,,,,
,,,,,,,
185,9/11/2025 0:00,30.343,,,,,
,,,,,,,
186,9/11/2025 1:00,30.091,,,,,
,,,,,,,
187,9/11/2025 2:00,29.84,,,,,
,,,,,,,
188,9/11/2025 3:00,29.615,,,,,
,,,,,,,
189,9/11/2025 4:00,29.389,,,,,
,,,,,,,
190,9/11/2025 5:00,29.19,,,,,
,,,,,,,
191,9/11/2025 6:00,29.015,,,,,
,,,,,,,
192,9/11/2025 7:00,28.891,,,,,
,,,,,,,
193,9/11/2025 8:00,28.841,,,,,
,,,,,,,
194,9/11/2025 9:00,28.866,,,,,
,,,,,,,
195,9/11/2025 10:00,28.99,,,,,
,,,,,,,
196,9/11/2025 11:00,29.14,,,,,
,,,,,,,
197,9/11/2025 12:00,29.265,,,,,
,,,,,,,
198,9/11/2025 13:00,29.79,,,,,
,,,,,,,
199,9/11/2025 14:00,30.066,,,,,
,,,,,,,
200,9/11/2025 15:00,30.444,,,,,
,,,,,,,
201,9/11/2025 16:00,30.773,,,,,
,,,,,,,
202,9/11/2025 17:00,30.925,,,,,
,,,,,,,
203,9/11/2025 18:00,30.798,,,,,
,,,,,,,
204,9/11/2025 19:00,30.596,,,,,
,,,,,,,
205,9/11/2025 20:00,30.369,,,,,
,,,,,,,
206,9/11/2025 21:00,30.167,,,,,
,,,,,,,
207,9/11/2025 22:00,29.941,,,,,
,,,,,,,
208,9/11/2025 23:00,29.715,,,,,
,,,,,,,
209,9/12/2025 0:00,29.54,,,,,
,,,,,,,
210,9/12/2025 1:00,29.34,,,,,
,,,,,,,
211,9/12/2025 2:00,29.165,,,,,
,,,,,,,
212,9/12/2025 3:00,28.99,,,,,
,,,,,,,
213,9/12/2025 4:00,28.816,,,,,
,,,,,,,
214,9/12/2025 5:00,28.667,,,,,
,,,,,,,
215,9/12/2025 6:00,28.518,,,,,
,,,,,,,
216,9/12/2025 7:00,28.543,,,,,
,,,,,,,
217,9/12/2025 8:00,28.518,,,,,
,,,,,,,
218,9/12/2025 9:00,28.543,,,,,
,,,,,,,
219,9/12/2025 10:00,28.841,,,,,
,,,,,,,
220,9/12/2025 11:00,28.916,,,,,
,,,,,,,
221,9/12/2025 12:00,29.215,,,,,
,,,,,,,
222,9/12/2025 13:00,29.715,,,,,
,,,,,,,
223,9/12/2025 14:00,30.243,,,,,
,,,,,,,
224,9/12/2025 15:00,30.748,,,,,
,,,,,,,
225,9/12/2025 16:00,31.077,,,,,
,,,,,,,
226,9/12/2025 17:00,31.331,,,,,
,,,,,,,
227,9/12/2025 18:00,31.535,,,,,
,,,,,,,
228,9/12/2025 19:00,31.179,,,,,
,,,,,,,
229,9/12/2025 20:00,30.976,,,,,
,,,,,,,
230,9/12/2025 21:00,30.722,,,,,
,,,,,,,
231,9/12/2025 22:00,30.444,,,,,
,,,,,,,
232,9/12/2025 23:00,30.217,,,,,
,,,,,,,
233,9/13/2025 0:00,29.991,,,,,
,,,,,,,
234,9/13/2025 1:00,29.79,,,,,
,,,,,,,
235,9/13/2025 2:00,29.59,,,,,
,,,,,,,
236,9/13/2025 3:00,29.414,,,,,
,,,,,,,
237,9/13/2025 4:00,29.24,,,,,
,,,,,,,
238,9/13/2025 5:00,29.09,,,,,
,,,,,,,
239,9/13/2025 6:00,28.916,,,,,
,,,,,,,
240,9/13/2025 7:00,28.766,,,,,
,,,,,,,
241,9/13/2025 8:00,28.717,,,,,
,,,,,,,
242,9/13/2025 9:00,28.717,,,,,
,,,,,,,
243,9/13/2025 10:00,28.891,,,,,
,,,,,,,
244,9/13/2025 11:00,29.215,,,,,
,,,,,,,
245,9/13/2025 12:00,29.515,,,,,
,,,,,,,
246,9/13/2025 13:00,29.941,,,,,
,,,,,,,
247,9/13/2025 14:00,30.419,,,,,
,,,,,,,
248,9/13/2025 15:00,30.773,,,,,
,,,,,,,
249,9/13/2025 16:00,31.153,,,,,
,,,,,,,
250,9/13/2025 17:00,31.51,,,,,
,,,,,,,
251,9/13/2025 18:00,31.74,,,,,
,,,,,,,
252,9/13/2025 19:00,31.51,,,,,
,,,,,,,
253,9/13/2025 20:00,31.255,,,,,
,,,,,,,
254,9/13/2025 21:00,31.026,,,,,
,,,,,,,
255,9/13/2025 22:00,30.773,,,,,
,,,,,,,
256,9/13/2025 23:00,30.545,,,,,
,,,,,,,
257,9/14/2025 0:00,30.318,,,,,
,,,,,,,
258,9/14/2025 1:00,30.091,,,,,
,,,,,,,
259,9/14/2025 2:00,29.865,,,,,
,,,,,,,
260,9/14/2025 3:00,29.665,,,,,
,,,,,,,
261,9/14/2025 4:00,29.439,,,,,
,,,,,,,
262,9/14/2025 5:00,29.265,,,,,
,,,,,,,
263,9/14/2025 6:00,29.09,,,,,
,,,,,,,
264,9/14/2025 7:00,28.99,,,,,
,,,,,,,
265,9/14/2025 8:00,28.916,,,,,
,,,,,,,
266,9/14/2025 9:00,28.916,,,,,
,,,,,,,
267,9/14/2025 10:00,29.065,,,,,
,,,,,,,
268,9/14/2025 11:00,29.34,,,,,
,,,,,,,
269,9/14/2025 12:00,29.715,,,,,
,,,,,,,
270,9/14/2025 13:00,30.192,,,,,
,,,,,,,
271,9/14/2025 14:00,30.621,,,,,
,,,,,,,
272,9/14/2025 15:00,31.077,,,,,
,,,,,,,
273,9/14/2025 16:00,31.535,,,,,
,,,,,,,
274,9/14/2025 17:00,31.919,,,,,
,,,,,,,
275,9/14/2025 18:00,32.098,,,,,
,,,,,,,
276,9/14/2025 19:00,31.816,,,,,
,,,,,,,
277,9/14/2025 20:00,31.484,,,,,
,,,,,,,
278,9/14/2025 21:00,31.179,,,,,
,,,,,,,
279,9/14/2025 22:00,30.849,,,,,
,,,,,,,
280,9/14/2025 23:00,30.571,,,,,
,,,,,,,
281,9/15/2025 0:00,30.318,,,,,
,,,,,,,
282,9/15/2025 1:00,30.091,,,,,
,,,,,,,
283,9/15/2025 2:00,29.89,,,,,
,,,,,,,
284,9/15/2025 3:00,29.74,,,,,
,,,,,,,
285,9/15/2025 4:00,29.565,,,,,
,,,,,,,
286,9/15/2025 5:00,29.414,,,,,
,,,,,,,
287,9/15/2025 6:00,29.24,,,,,
,,,,,,,
288,9/15/2025 7:00,29.115,,,,,
,,,,,,,
289,9/15/2025 8:00,29.09,,,,,
,,,,,,,
290,9/15/2025 9:00,29.19,,,,,
,,,,,,,
291,9/15/2025 10:00,29.29,,,,,
,,,,,,,
292,9/15/2025 11:00,29.54,,,,,
,,,,,,,
293,9/15/2025 12:00,29.966,,,,,
,,,,,,,
294,9/15/2025 13:00,30.369,,,,,
,,,,,,,
295,9/15/2025 14:00,30.849,,,,,
,,,,,,,
296,9/15/2025 15:00,31.255,,,,,
,,,,,,,
297,9/15/2025 16:00,31.357,,,,,
,,,,,,,
298,9/15/2025 17:00,31.281,,,,,
,,,,,,,
299,9/15/2025 18:00,31.281,,,,,
,,,,,,,
300,9/15/2025 19:00,31.026,,,,,
,,,,,,,
301,9/15/2025 20:00,30.748,,,,,
,,,,,,,
302,9/15/2025 21:00,30.52,,,,,
,,,,,,,
303,9/15/2025 22:00,30.293,,,,,
,,,,,,,
304,9/15/2025 23:00,30.066,,,,,
,,,,,,,
305,9/16/2025 0:00,29.865,,,,,
,,,,,,,
306,9/16/2025 1:00,29.715,,,,,
,,,,,,,
307,9/16/2025 2:00,29.439,,,,,
,,,,,,,
308,9/16/2025 3:00,29.165,,,,,
,,,,,,,
309,9/16/2025 4:00,28.965,,,,,
,,,,,,,
310,9/16/2025 5:00,28.791,,,,,
,,,,,,,
311,9/16/2025 6:00,28.642,,,,,
,,,,,,,
312,9/16/2025 7:00,28.518,,,,,
,,,,,,,
313,9/16/2025 8:00,28.468,,,,,
,,,,,,,
314,9/16/2025 9:00,28.493,,,,,
,,,,,,,
315,9/16/2025 10:00,28.593,,,,,
,,,,,,,
316,9/16/2025 11:00,28.816,,,,,
,,,,,,,
317,9/16/2025 12:00,29.14,,,,,
,,,,,,,
318,9/16/2025 13:00,29.54,,,,,
,,,,,,,
319,9/16/2025 14:00,29.89,,,,,
,,,,,,,
320,9/16/2025 15:00,30.293,,,,,
,,,,,,,
321,9/16/2025 16:00,30.596,,,,,
,,,,,,,
322,9/16/2025 17:00,30.95,,,,,
,,,,,,,
323,9/16/2025 18:00,31.128,,,,,
,,,,,,,
324,9/16/2025 19:00,30.9,,,,,
,,,,,,,
325,9/16/2025 20:00,30.646,,,,,
,,,,,,,
326,9/16/2025 21:00,30.419,,,,,
,,,,,,,
327,9/16/2025 22:00,30.217,,,,,
,,,,,,,
328,9/16/2025 23:00,30.016,,,,,
,,,,,,,
329,9/17/2025 0:00,29.765,,,,,
,,,,,,,
330,9/17/2025 1:00,29.515,,,,,
,,,,,,,
331,9/17/2025 2:00,29.265,,,,,
,,,,,,,
332,9/17/2025 3:00,28.99,,,,,
,,,,,,,
333,9/17/2025 4:00,28.766,,,,,
,,,,,,,
334,9/17/2025 5:00,28.593,,,,,
,,,,,,,
335,9/17/2025 6:00,28.444,,,,,
,,,,,,,
336,9/17/2025 7:00,28.345,,,,,
,,,,,,,
337,9/17/2025 8:00,28.32,,,,,
,,,,,,,
338,9/17/2025 9:00,28.32,,,,,
,,,,,,,
339,9/17/2025 10:00,28.593,,,,,
,,,,,,,
340,9/17/2025 11:00,28.791,,,,,
,,,,,,,
341,9/17/2025 12:00,29.115,,,,,
,,,,,,,
342,9/17/2025 13:00,29.565,,,,,
,,,,,,,
343,9/17/2025 14:00,30.016,,,,,
,,,,,,,
344,9/17/2025 15:00,30.419,,,,,
,,,,,,,
345,9/17/2025 16:00,30.672,,,,,
,,,,,,,
346,9/17/2025 17:00,30.722,,,,,
,,,,,,,
347,9/17/2025 18:00,30.621,,,,,
,,,,,,,
348,9/17/2025 19:00,30.369,,,,,
,,,,,,,
349,9/17/2025 20:00,29.966,,,,,
,,,,,,,
350,9/17/2025 21:00,29.665,,,,,
,,,,,,,
351,9/17/2025 22:00,29.34,,,,,
,,,,,,,
352,9/17/2025 23:00,29.065,,,,,
,,,,,,,
353,9/18/2025 0:00,28.866,,,,,
,,,,,,,
354,9/18/2025 1:00,28.593,,,,,
,,,,,,,
355,9/18/2025 2:00,28.369,,,,,
,,,,,,,
356,9/18/2025 3:00,28.147,,,,,
,,,,,,,
357,9/18/2025 4:00,27.801,,,,,
,,,,,,,
358,9/18/2025 5:00,27.579,,,,,
,,,,,,,
359,9/18/2025 6:00,27.235,,,,,
,,,,,,,
360,9/18/2025 7:00,26.891,,,,,
,,,,,,,
361,9/18/2025 8:00,26.646,,,,,
,,,,,,,
362,9/18/2025 9:00,26.451,,,,,
,,,,,,,
363,9/18/2025 10:00,26.28,,,,,
,,,,,,,
364,9/18/2025 11:00,26.182,,,,,
,,,,,,,
365,9/18/2025 12:00,26.109,,,,,
,,,,,,,
366,9/18/2025 13:00,26.012,,,,,
,,,,,,,
367,9/18/2025 14:00,25.963,,,,,
,,,,,,,
368,9/18/2025 15:00,25.939,,,,,
,,,,,,,
369,9/18/2025 16:00,25.963,,,,,
,,,,,,,
370,9/18/2025 17:00,25.939,,,,,
,,,,,,,
371,9/18/2025 18:00,25.89,,,,,
,,,,,,,
372,9/18/2025 19:00,25.793,,,,,
,,,,,,,
373,9/18/2025 20:00,25.695,,,,,
,,,,,,,
374,9/18/2025 21:00,25.574,,,,,
,,,,,,,
375,9/18/2025 22:00,25.453,,,,,
,,,,,,,
376,9/18/2025 23:00,25.355,,,,,
,,,,,,,
377,9/19/2025 0:00,25.283,,,,,
,,,,,,,
378,9/19/2025 1:00,25.234,,,,,
,,,,,,,
379,9/19/2025 2:00,25.21,,,,,
,,,,,,,
380,9/19/2025 3:00,25.21,,,,,
,,,,,,,
381,9/19/2025 4:00,25.21,,,,,
,,,,,,,
382,9/19/2025 5:00,25.21,,,,,
,,,,,,,
383,9/19/2025 6:00,25.186,,,,,
,,,,,,,
384,9/19/2025 7:00,25.234,,,,,
,,,,,,,
385,9/19/2025 8:00,25.307,,,,,
,,,,,,,
386,9/19/2025 9:00,25.453,,,,,
,,,,,,,
387,9/19/2025 10:00,25.671,,,,,
,,,,,,,
388,9/19/2025 11:00,26.036,,,,,
,,,,,,,
389,9/19/2025 12:00,26.426,,,,,
,,,,,,,
390,9/19/2025 13:00,26.818,,,,,
,,,,,,,
391,9/19/2025 14:00,27.112,,,,,
,,,,,,,
392,9/19/2025 15:00,27.235,,,,,
,,,,,,,
393,9/19/2025 16:00,27.284,,,,,
,,,,,,,
394,9/19/2025 17:00,27.333,,,,,
,,,,,,,
395,9/19/2025 18:00,27.333,,,,,
,,,,,,,
396,9/19/2025 19:00,27.284,,,,,
,,,,,,,
397,9/19/2025 20:00,27.21,,,,,
,,,,,,,
398,9/19/2025 21:00,27.087,,,,,
,,,,,,,
399,9/19/2025 22:00,27.038,,,,,
,,,,,,,
400,9/19/2025 23:00,26.965,,,,,
,,,,,,,
401,9/20/2025 0:00,26.94,,,,,
,,,,,,,
402,9/20/2025 1:00,26.891,,,,,
,,,,,,,
403,9/20/2025 2:00,26.867,,,,,
,,,,,,,
404,9/20/2025 3:00,26.793,,,,,
,,,,,,,
405,9/20/2025 4:00,26.695,,,,,
,,,,,,,
406,9/20/2025 5:00,26.598,,,,,
,,,,,,,
407,9/20/2025 6:00,26.5,,,,,
,,,,,,,
408,9/20/2025 7:00,26.451,,,,,
,,,,,,,
409,9/20/2025 8:00,26.451,,,,,
,,,,,,,
410,9/20/2025 9:00,26.5,,,,,
,,,,,,,
411,9/20/2025 10:00,26.598,,,,,
,,,,,,,
412,9/20/2025 11:00,26.842,,,,,
,,,,,,,
413,9/20/2025 12:00,27.186,,,,,
,,,,,,,
414,9/20/2025 13:00,27.653,,,,,
,,,,,,,
415,9/20/2025 14:00,28.122,,,,,
,,,,,,,
416,9/20/2025 15:00,28.617,,,,,
,,,,,,,
417,9/20/2025 16:00,29.115,,,,,
,,,,,,,
418,9/20/2025 17:00,29.715,,,,,
,,,,,,,
419,9/20/2025 18:00,29.966,,,,,
,,,,,,,
420,9/20/2025 19:00,30.016,,,,,
,,,,,,,
421,9/20/2025 20:00,29.991,,,,,
,,,,,,,
422,9/20/2025 21:00,29.941,,,,,
,,,,,,,
423,9/20/2025 22:00,29.84,,,,,
,,,,,,,
424,9/20/2025 23:00,29.69,,,,,
,,,,,,,
425,9/21/2025 0:00,29.54,,,,,
,,,,,,,
426,9/21/2025 1:00,29.389,,,,,
,,,,,,,
427,9/21/2025 2:00,29.24,,,,,
,,,,,,,
428,9/21/2025 3:00,29.09,,,,,
,,,,,,,
429,9/21/2025 4:00,28.941,,,,,
,,,,,,,
430,9/21/2025 5:00,28.816,,,,,
,,,,,,,
431,9/21/2025 6:00,28.667,,,,,
,,,,,,,
432,9/21/2025 7:00,28.543,,,,,
,,,,,,,
433,9/21/2025 8:00,28.493,,,,,
,,,,,,,
434,9/21/2025 9:00,28.493,,,,,
,,,,,,,
435,9/21/2025 10:00,28.593,,,,,
,,,,,,,
436,9/21/2025 11:00,28.791,,,,,
,,,,,,,
437,9/21/2025 12:00,29.065,,,,,
,,,,,,,
438,9/21/2025 13:00,29.49,,,,,
,,,,,,,
439,9/21/2025 14:00,29.941,,,,,
,,,,,,,
440,9/21/2025 15:00,30.394,,,,,
,,,,,,,
441,9/21/2025 16:00,30.824,,,,,
,,,,,,,
442,9/21/2025 17:00,31.306,,,,,
,,,,,,,
443,9/21/2025 18:00,31.484,,,,,
,,,,,,,
444,9/21/2025 19:00,31.331,,,,,
,,,,,,,
445,9/21/2025 20:00,31.026,,,,,
,,,,,,,
446,9/21/2025 21:00,30.722,,,,,
,,,,,,,
447,9/21/2025 22:00,30.444,,,,,
,,,,,,,
448,9/21/2025 23:00,30.217,,,,,
,,,,,,,
449,9/22/2025 0:00,29.966,,,,,
,,,,,,,
450,9/22/2025 1:00,29.765,,,,,
,,,,,,,
451,9/22/2025 2:00,29.565,,,,,
,,,,,,,
452,9/22/2025 3:00,29.365,,,,,
,,,,,,,
453,9/22/2025 4:00,29.14,,,,,
,,,,,,,
454,9/22/2025 5:00,28.916,,,,,
,,,,,,,
455,9/22/2025 6:00,28.717,,,,,
,,,,,,,
456,9/22/2025 7:00,28.568,,,,,
,,,,,,,
457,9/22/2025 8:00,28.543,,,,,
,,,,,,,
458,9/22/2025 9:00,28.568,,,,,
,,,,,,,
459,9/22/2025 10:00,28.642,,,,,
,,,,,,,
460,9/22/2025 11:00,28.841,,,,,
,,,,,,,
461,9/22/2025 12:00,29.165,,,,,
,,,,,,,
462,9/22/2025 13:00,29.64,,,,,
,,,,,,,
463,9/22/2025 14:00,30.041,,,,,
,,,,,,,
464,9/22/2025 15:00,30.469,,,,,
,,,,,,,
465,9/22/2025 16:00,30.798,,,,,
,,,,,,,
466,9/22/2025 17:00,30.722,,,,,
,,,,,,,
467,9/22/2025 18:00,30.469,,,,,
,,,,,,,
468,9/22/2025 19:00,30.217,,,,,
,,,,,,,
469,9/22/2025 20:00,29.966,,,,,
,,,,,,,
470,9/22/2025 21:00,29.665,,,,,
,,,,,,,
471,9/22/2025 22:00,29.414,,,,,
,,,,,,,
472,9/22/2025 23:00,29.165,,,,,
,,,,,,,
473,9/23/2025 0:00,28.941,,,,,
,,,,,,,
474,9/23/2025 1:00,28.742,,,,,
,,,,,,,
475,9/23/2025 2:00,28.593,,,,,
,,,,,,,
476,9/23/2025 3:00,28.468,,,,,
,,,,,,,
477,9/23/2025 4:00,28.345,,,,,
,,,,,,,
478,9/23/2025 5:00,28.196,,,,,
,,,,,,,
